"uid","date","subject","sex","age","nut_species","bout_number","displacement_count","tool_switch_count","bout_duration","strike_count","bout_outcome","learner"
"f123a92d-aa11-49c5-8285-e2ac099791c0",2010,"Joya","Female",6,"Oil palm nut",1,0,1,3.263,3,"Successful","Solo"
"f123a92d-aa11-49c5-8285-e2ac099791c0",2010,"Joya","Female",6,"Oil palm nut",5,2,1,27.93,13,"Successful","Solo"
"f123a92d-aa11-49c5-8285-e2ac099791c0",2010,"Joya","Female",6,"Oil palm nut",9,3,0,18.875,10,"Successful","Solo"
"cc33486e-16a1-4070-9e6c-dd04ee1520e0",2012,"Joya","Female",8,"Oil palm nut",13,0,0,14.508,4,"Failed","Solo"
"cc33486e-16a1-4070-9e6c-dd04ee1520e0",2012,"Joya","Female",8,"Oil palm nut",17,1,0,8.925,2,"Smash","Peering"
"cc33486e-16a1-4070-9e6c-dd04ee1520e0",2012,"Joya","Female",8,"Oil palm nut",21,1,0,15.181,4,"Smash","Present"
"53f1d36f-308b-426c-964f-f5acb6116d0d",2012,"Joya","Female",8,"Oil palm nut",25,0,0,0.677,1,"Successful","Solo"
"520c4710-ac41-403f-86dc-4879a133dde4",2012,"Joya","Female",8,"Oil palm nut",29,0,0,3.24,4,"Successful","Solo"
"6c21c301-a3c6-474e-b6d5-84e81eacac3a",1992,"Kai","Female",42,"Oil palm nut",2,0,0,1.67,2,"Failed","Solo"
"6c21c301-a3c6-474e-b6d5-84e81eacac3a",1992,"Kai","Female",42,"Oil palm nut",6,0,0,0.534,1,"Successful","Solo"
"6c21c301-a3c6-474e-b6d5-84e81eacac3a",1992,"Kai","Female",42,"Oil palm nut",10,0,0,1.424,2,"Successful","Solo"
"6c21c301-a3c6-474e-b6d5-84e81eacac3a",1992,"Kai","Female",42,"Oil palm nut",14,0,0,3.461,3,"Failed","Solo"
"6c21c301-a3c6-474e-b6d5-84e81eacac3a",1992,"Kai","Female",42,"Oil palm nut",18,0,0,0.637,1,"Smash","Solo"
"01acda6b-15c6-4d45-9f80-429960524c21",1993,"Kai","Female",43,"Oil palm nut",22,0,0,2.349,2,"Successful","Solo"
"9b3cdf4e-a443-472f-b1b9-a969dad0cacd",1994,"Kai","Female",44,"Oil palm nut",26,0,0,1.318,2,"Successful","Present"
"9b3cdf4e-a443-472f-b1b9-a969dad0cacd",1994,"Kai","Female",44,"Oil palm nut",30,0,0,2.583,3,"Successful","Present"
"9b3cdf4e-a443-472f-b1b9-a969dad0cacd",1994,"Kai","Female",44,"Oil palm nut",34,0,0,1.983,2,"Smash","Present"
"39194e53-1ddf-4ed7-b82b-50e0b08102f1",1994,"Kai","Female",44,"Oil palm nut",38,0,0,2.617,3,"Successful","Solo"
"39194e53-1ddf-4ed7-b82b-50e0b08102f1",1994,"Kai","Female",44,"Oil palm nut",42,0,0,2.821,3,"Successful","Solo"
"1811f77c-8064-4269-a722-0e67927e3918",1995,"Kai","Female",45,"Oil palm nut",46,0,0,1.789,2,"Successful","Solo"
"1811f77c-8064-4269-a722-0e67927e3918",1995,"Kai","Female",45,"Oil palm nut",50,1,0,6.942,2,"Successful","Solo"
"1811f77c-8064-4269-a722-0e67927e3918",1995,"Kai","Female",45,"Oil palm nut",54,0,0,2.369,3,"Successful","Solo"
"1811f77c-8064-4269-a722-0e67927e3918",1995,"Kai","Female",45,"Oil palm nut",58,1,0,8.995,4,"Successful","Solo"
"d8e64404-7111-4b70-9af6-cc0215516031",1995,"Kai","Female",45,"Oil palm nut",62,2,0,7.73,3,"Successful","Solo"
"ab589317-1b0a-4e35-915c-13b4223d30e1",1996,"Kai","Female",46,"Oil palm nut",66,0,0,2.455,3,"Successful","Solo"
"41e437d5-dfba-4bed-9815-3263c5983921",1996,"Kai","Female",46,"Oil palm nut",70,0,0,2.836,3,"Successful","Solo"
"41e437d5-dfba-4bed-9815-3263c5983921",1996,"Kai","Female",46,"Oil palm nut",74,1,0,11.361,4,"Successful","Solo"
"41e437d5-dfba-4bed-9815-3263c5983921",1996,"Kai","Female",46,"Oil palm nut",78,0,0,0.484,1,"Successful","Solo"
"41e437d5-dfba-4bed-9815-3263c5983921",1996,"Kai","Female",46,"Oil palm nut",82,0,0,4.056,2,"Successful","Solo"
"d7d2a7eb-6ab1-4d07-8163-0197af4400cd",1997,"Kai","Female",47,"Oil palm nut",86,0,0,4.855,2,"Successful","Solo"
"54190c24-3b59-48b3-b45f-8d85fcebb1c3",1997,"Kai","Female",47,"Oil palm nut",90,0,0,3.956,2,"Failed","Solo"
"15e18af4-82ea-495c-ab07-4345e319db22",1997,"Kai","Female",47,"Oil palm nut",94,0,0,8.508,3,"Smash","Solo"
"c488687f-7f55-4353-b45c-2e207e179314",1997,"Kai","Female",47,"Oil palm nut",98,0,1,0.597,1,"Successful","Solo"
"c488687f-7f55-4353-b45c-2e207e179314",1997,"Kai","Female",47,"Oil palm nut",102,0,0,3.42,3,"Successful","Peering"
